id;codigo;nombre;descripcion;existencia;existencia_minima;precio;costo;imagen;imagen_content_type;activo
1;ugh;pale bah who;accentuate recompense;4913.8;14327.94;7899.47;28658.95;../fake-data/blob/hipster.png;image/png;false
2;aw;fruitful finally swiftly;until times;20629.73;15974.27;30934.28;6619.99;../fake-data/blob/hipster.png;image/png;false
3;until gnash bourgeoisie;jump oof hm;whale healthily;15880.9;9340.38;20448.15;17970.04;../fake-data/blob/hipster.png;image/png;false
4;wee;horse;innocently what moral;29076.6;23985.57;29874.35;30604.81;../fake-data/blob/hipster.png;image/png;false
5;iridescence altruistic;knight acidly;drat unfinished freely;4745.53;9395.51;210.07;20955.03;../fake-data/blob/hipster.png;image/png;false
6;because parody instantly;tensely daily;tinted;4963.33;18731.88;6084.9;32734.58;../fake-data/blob/hipster.png;image/png;true
7;madly;until ew;towards deceivingly;905.19;17122.29;3032.58;28190.12;../fake-data/blob/hipster.png;image/png;true
8;although unto;commercial;or accelerator majestically;31206.71;2284.87;11099.74;8611.71;../fake-data/blob/hipster.png;image/png;true
9;valiantly;duh ack wholly;hopelessly consequently safeguard;25617.34;14703.38;539.92;30128.34;../fake-data/blob/hipster.png;image/png;false
10;litter victoriously;among outside;sturdy atop;17199.76;7158.46;25597.59;17404.67;../fake-data/blob/hipster.png;image/png;true
