id;nombre;descripcion;imagen;imagen_content_type;activo
1;black the;because consequently;../fake-data/blob/hipster.png;image/png;false
2;mispronounce;deck aha until;../fake-data/blob/hipster.png;image/png;false
3;generously colorfully upwardly;amongst suburban sociable;../fake-data/blob/hipster.png;image/png;true
4;kinase buzzing;huzzah;../fake-data/blob/hipster.png;image/png;true
5;bony rue;er seldom;../fake-data/blob/hipster.png;image/png;true
6;oof pish;neatly postbox;../fake-data/blob/hipster.png;image/png;false
7;curiously phooey freely;shimmering;../fake-data/blob/hipster.png;image/png;true
8;stylish ouch;ew;../fake-data/blob/hipster.png;image/png;true
9;eyebrow jump;how;../fake-data/blob/hipster.png;image/png;true
10;yahoo violently;more fortunately incidentally;../fake-data/blob/hipster.png;image/png;false
