id;nombre;ruc;regimen_fiscal;direccion;telefono;correo;logo;logo_content_type;eslogan
1;oof;intelligent;anenst before ownership;if well-to-do justly;wilt ravage afore;tightly;../fake-data/blob/hipster.png;image/png;councilman overload observe
2;because secret;well-to-do under unl;galvanize dreamily;celebrated;ouch vibrant wide-ey;instead till ragged;../fake-data/blob/hipster.png;image/png;pale jell where
3;reboot ick;save sarcastic fondl;worriedly;supposing morning;ignorance gently;per ski;../fake-data/blob/hipster.png;image/png;abaft complete
4;dwell;familiar swim hospit;surprised correctly;as;silently;failing reassuringly pivot;../fake-data/blob/hipster.png;image/png;hydrant after
5;chilly;furthermore whether ;yum gracefully;er mechanically;apropos hopeful;lone whoever;../fake-data/blob/hipster.png;image/png;where gratefully and
6;apropos wrathful;poppy when;next;boastfully faint crazy;openly alive anti;loudly;../fake-data/blob/hipster.png;image/png;knowledgeably miserably through
7;scram inasmuch mushy;capsize;long needily unrealistic;gust meanwhile;outside that;joyfully;../fake-data/blob/hipster.png;image/png;but cheerfully
8;fooey;pity zowie;whose er pantyhose;brandish coaxingly;lace zany;yum complicated;../fake-data/blob/hipster.png;image/png;underneath lightly
9;pfft;unwelcome;hmph nor petticoat;bogus excitedly mid;unsung;greatly dispose;../fake-data/blob/hipster.png;image/png;nudge young ick
10;rare scenario meanwhile;palatable;meh yuck;offensively skateboard;drive apropos lest;regulate whether;../fake-data/blob/hipster.png;image/png;next
