id;precio_anterior;precio_nuevo;fecha;motivo
1;19766.92;29307.51;2026-01-27T16:18:21;athwart worth psst
2;30951.94;8567.19;2026-01-28T11:27:26;valentine adventurously
3;5129.62;12731.45;2026-01-27T23:29:50;whoa upon
4;26463.49;3006.22;2026-01-28T14:10:01;unwieldy
5;20202.23;10539.5;2026-01-27T18:28:30;boohoo untried even
6;29782.39;12065.8;2026-01-28T01:51:36;amongst
7;31691.27;4914.03;2026-01-27T23:47:36;char
8;3950.51;28959.61;2026-01-27T21:50:11;yahoo when numb
9;26704.88;27792.51;2026-01-28T13:04:26;productive
10;24785.04;2640.94;2026-01-28T00:42:17;gadzooks sock hence
