id;fecha;no_documento;total;observaciones;activo
1;2026-01-28T14:00:57;aching bah hm;12411.94;while besmirch;true
2;2026-01-28T02:14:19;yippee inventory hold;1320.56;calculus;true
3;2026-01-28T03:58:58;soybean bookcase why;570.35;blah;false
4;2026-01-27T21:18:27;athwart;11473.51;safely;true
5;2026-01-28T06:53:54;ascertain ew recompense;32007.92;who ouch;true
6;2026-01-27T17:11:46;geez likewise never;3205.15;desk beside;false
7;2026-01-28T10:28:25;along;12279.86;since;true
8;2026-01-28T12:50:21;hmph;7067.5;yowza reorient than;false
9;2026-01-27T16:53:03;spirit;30411.74;dead commonly pish;false
10;2026-01-27T18:06:46;glass meh geez;8533.94;softly fog;true
