id;fecha;no_factura;subtotal;iva;total;total_en_moneda_base;metodo_pago;stripe_id;es_contado;tipo_cambio_venta;anulada
1;2026-01-28T06:37:19;16206;24235.05;25539.08;13745.64;19347.29;TARJETA_STRIPE;although sans proceed;true;24205.97;true
2;2026-01-27T23:27:15;9292;19164.02;15446.55;10801.41;15935.25;TRANSFERENCIA;ah pulverize;true;4482.43;true
3;2026-01-28T10:32:45;842;10358.16;25016.67;6020.99;16154.72;EFECTIVO;tank how clamour;false;29141.57;true
4;2026-01-28T06:42:29;1649;29910.88;18218.21;12168.9;26676.4;TRANSFERENCIA;boldly;true;30435.03;true
5;2026-01-27T16:46:33;6713;4474.84;7707.5;10401.9;14347.43;TARJETA_STRIPE;by hm;false;25540.84;true
6;2026-01-27T16:06:42;1655;26364.27;7239.52;17478.28;435.76;TRANSFERENCIA;that sunny;false;31970.08;true
7;2026-01-28T01:30:00;17770;6034.92;7488.59;5077.43;20678.66;EFECTIVO;quarrelsome although the;true;26159.09;true
8;2026-01-28T12:23:25;22331;20027.5;25499.83;3495.44;20795.79;TARJETA_STRIPE;during;false;9142.67;false
9;2026-01-28T11:14:11;20165;29.32;32202.12;20495.65;17857.87;EFECTIVO;outflank yearningly;true;26569.7;true
10;2026-01-27T16:10:48;25477;28806.38;20002.93;19484.04;12002.32;EFECTIVO;aftermath spattering;false;28503.73;false
